case_reference,open_date,closed_date,status,subject,reason,type,object_type,address_number,address_line_1,city,state,zip_code,property_id,location,latitude,longitude,council_district,police_district,census_tract,census_block_group,census_block,neighborhood,x_coordinate,y_coordinate,census_tract_2010,census_block_group_2010,census_block_2010,tractce20,geoid20_tract,geoid20_blockgroup,geoid20_block,:@computed_region_fk4y_hpmh,:@computed_region_kwzn_pe6v,:@computed_region_uh5x_q5mi,:@computed_region_dwzh_dtk5,:@computed_region_tmcg_v66k,:@computed_region_xbxg_7ifr,:@computed_region_eziv_p4ck,:@computed_region_jdfw_hhbp,:@computed_region_urdz_b6n8,:@computed_region_vsen_jbmg,:@computed_region_nmyf_6jtp,:@computed_region_ff6v_jbaa,:@computed_region_gkva_sjqs,:@computed_region_h7a8_iwt4,address_line_2,:@computed_region_k9un_h6vm
503977-1001755798,2022-12-25T19:00:00.000,2022-12-25T21:48:00.000,Closed,Utilities,National Grid,Streetlights (Req_Serv),Property,311,Please call 311 for this location,Buffalo,NEW YORK,14208,99.99-9-9,"{'latitude': '42.92111923112804', 'longitude': '-78.8496394169659', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.92111923112804,-78.8496394169659,MASTEN,District E,33.01,1,1000,Hamlin Park,-78.85501,42.95695,33.01,1,1000,003301,36029003301,360290033011,360290033011000,2,22,236,1581,9,31,59,7,6,4,21,11,191,8,,3
1001733899,2022-11-09T05:55:00.000,2023-01-13T13:41:00.000,Closed,Dept of Public Works,Rodent_Pest Control,Rodents (Req_Serv),Property,25,FERGUSON,Buffalo,NEW YORK,14213,99.35-8-4,"{'latitude': '42.915696662893374', 'longitude': '-78.89207584247762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.915696662893374,-78.89207584247762,NIAGARA,District D,61,3,3001,Upper West Side,-8782226.154,5299149.8486,61,3,3001,006100,36029006100,360290061003,360290061003001,5,2,23,587,3,26,43,10,3,2,31,27,110,6,,
1001764127,2023-01-12T12:06:00.000,2023-01-13T08:40:00.000,Closed,Buffalo Police Department,Police,Police Issue (Req_Serv),Property,829,WOODLAWN,Buffalo,NEW YORK,14211,101.37-5-10,"{'latitude': '42.913624406433975', 'longitude': '-78.83404808663171', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.913624406433975,-78.83404808663171,MASTEN,District C,34,4,4002,MLK Park,-8775766.524,5298834.866,34,4,4002,003400,36029003400,360290034004,360290034004002,3,4,207,1379,9,35,47,17,6,1,29,76,117,8,,
1001788856,2023-02-08T08:36:00.000,,Open,DPIS,Housing,Housing Violations (Req_Serv),Property,85,ECKHERT,Buffalo,NEW YORK,14207,77.32-4-29,"{'latitude': '42.959693332049405', 'longitude': '-78.90530434183705', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.959693332049405,-78.90530434183705,NORTH,District D,58.01,2,2008,Riverside,-8783698.74,5305839.8109,58.01,2,2008,005801,36029005801,360290058012,360290058012008,5,10,224,2567,1,18,12,18,1,2,15,22,190,10,,
1001788780,2023-02-07T15:24:00.000,,Open,Utilities,Buffalo Water Authority,Water Tested (Req_Serv),Property,160,DAVIDSON,Buffalo,NEW YORK,14215,90.34-6-24,"{'latitude': '42.93758568853402', 'longitude': '-78.80751146633882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.93758568853402,-78.80751146633882,UNIVERSITY,District E,44.01,1,1002,Kensington-Bailey,-8772812.473,5302477.61,44.01,1,1003,004401,36029004401,360290044011,360290044011002,2,11,219,3300,8,13,24,11,7,4,6,18,84,7,,
1001776071,2023-01-23T16:02:00.000,2023-01-24T14:52:00.000,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,Main St,Buffalo,NEW YORK,14220,,"{'latitude': '42.856463120634494', 'longitude': '-78.83034407693124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.856463120634494,-78.83034407693124,LOVEJOY,District A,2,4,4001,Hopkins-Tifft,,,2,4,4001,000200,36029000200,360290002004,360290002004001,4,9,44,188,2,10,1,1,14,3,27,40,170,5,,
1001775604,2023-01-20T10:18:00.000,2023-01-27T12:07:00.000,Closed,Dept of Public Works,Sanitation,Recycling Tote Replace (Req_Serv),Property,563,TONAWANDA,Buffalo,NEW YORK,14207,77.73-2-15,"{'latitude': '42.94445311445396', 'longitude': '-78.90067960375765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.94445311445396,-78.90067960375765,NORTH,District D,57,1,1004,Black Rock,-8783183.918,5303521.9016,57,1,1011,005700,36029005700,360290057001,360290057001004,5,10,64,2431,1,9,9,18,1,2,26,87,246,10,,
1001763952,2023-01-12T08:36:00.000,2023-01-13T09:40:00.000,Closed,Utilities,Buffalo Sewer Authority,Basement Flooding (Req_Serv),Property,102,GLADSTONE,Buffalo,NEW YORK,14207,77.75-1-13,"{'latitude': '42.94702116075873', 'longitude': '-78.89166229449481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.94702116075873,-78.89166229449481,NORTH,District D,56,4,4003,West Hertel,-8782180.114,5303912.4396,56,4,4003,005600,36029005600,360290056004,360290056004003,5,10,218,1854,1,3,57,18,1,2,19,79,56,10,,
1001763476,2023-01-10T12:50:00.000,2023-01-13T10:01:00.000,Closed,Dept of Public Works,Sanitation,Totes Replace (Req_Serv),Property,652,TACOMA,Buffalo,NEW YORK,14216,78.59-2-22,"{'latitude': '42.95098633902326', 'longitude': '-78.84825029254847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.95098633902326,-78.84825029254847,DELAWARE,District D,48,3,3010,North Park,-8777347.504,5304515.4795,48,3,3010,004800,36029004800,360290048003,360290048003010,5,5,79,1269,7,25,37,13,2,2,33,43,192,1,,
1001776273,2023-01-24T15:09:00.000,2023-01-27T10:52:00.000,Closed,Dept of Public Works,Sanitation,Trash Ordinance Violation (Req_Serv),Property,786,FILLMORE,Buffalo,NEW YORK,14212,111.36-3-10,"{'latitude': '42.8946817953579', 'longitude': '-78.83971522689508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.8946817953579,-78.83971522689508,FILLMORE,District C,166,1,1000,Broadway Fillmore,-8776397.391,5295956.0939,166,1,1000,016600,36029016600,360290166001,360290166001000,3,8,55,1611,5,23,26,2,10,1,35,17,215,2,,
1001776380,2023-01-25T10:51:00.000,2023-01-27T09:50:00.000,Closed,Dept of Public Works,Sanitation,Totes Replace (Req_Serv),Property,119,FRONTENAC,Buffalo,NEW YORK,14216,78.58-4-21,"{'latitude': '42.95199320430098', 'longitude': '-78.85006721822128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.95199320430098,-78.85006721822128,DELAWARE,District D,48,3,3008,North Park,-8777549.763,5304668.6139,48,3,3008,004800,36029004800,360290048003,360290048003008,5,5,79,2373,7,25,37,13,2,2,33,43,192,1,,
1001758659,2022-12-28T16:58:00.000,2023-01-03T11:04:00.000,Closed,Dept of Public Works,Streets,Street Snow Plowing (Req_Serv),Property,INTERSECTION,Rhode Island St,Buffalo,NEW YORK,14213,2309,"{'latitude': '42.911813123639206', 'longitude': '-78.88517604519166', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.911813123639206,-78.88517604519166,NIAGARA,District B,66.01,3,3002,Elmwood Bryant,1067430.9,1061080.5,66.01,3,3002,006601,36029006601,360290066013,360290066013002,1,2,210,2591,3,5,40,10,4,5,4,89,252,6,18th St,
1001758429,2022-12-28T14:18:00.000,2023-01-06T10:13:00.000,Closed,Dept of Public Works,Streets,Street Snow Plowing (Req_Serv),Property,33,MENDOLA,Buffalo,NEW YORK,14215,90.46-8-6,"{'latitude': '42.93145787410381', 'longitude': '-78.82731449497618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.93145787410381,-78.82731449497618,MASTEN,District E,39.01,1,1013,Fillmore-Leroy,-8775016.941,5301545.8867,39.01,1,1013,003901,36029003901,360290039011,360290039011013,2,11,30,2961,9,6,45,11,7,4,10,44,33,8,,
